Ticker,Date,Open,High,Low,Close,Adj Close,Volume
NVDA,2022-01-18,262.60,266.38,257.70,259.03,258.79,42427000
NVDA,2022-01-19,260.79,265.43,250.52,250.67,250.44,48831500
NVDA,2022-01-20,253.04,255.79,240.78,241.50,241.27,43518100
NVDA,2022-01-21,235.07,248.23,232.63,233.74,233.52,71895800
NVDA,2022-01-24,223.30,233.80,208.88,233.72,233.50,91398200
NVDA,2022-01-25,225.46,229.43,220.00,223.24,223.03,66461600
NVDA,2022-01-26,232.40,240.57,223.00,227.72,227.51,75595900
NVDA,2022-01-27,235.68,239.95,216.75,219.44,219.24,57335300
NVDA,2022-01-28,220.12,228.58,212.96,228.40,228.19,54377400
NVDA,2022-01-31,231.82,245.09,230.52,244.86,244.63,56468000
NVDA,2022-02-01,251.04,251.45,238.90,246.38,246.15,51892500
NVDA,2022-02-02,257.94,258.17,245.53,252.42,252.18,54341900
NVDA,2022-02-03,244.58,250.77,237.80,239.48,239.26,41017800
NVDA,2022-02-04,239.72,246.35,236.32,243.19,242.96,35482900
NVDA,2022-02-07,243.72,251.82,242.02,247.28,247.05,37686800
NVDA,2022-02-08,243.59,252.30,239.80,251.08,250.85,41035900
NVDA,2022-02-09,256.22,267.25,253.53,267.05,266.80,52428200
NVDA,2022-02-10,259.95,269.25,256.00,258.24,258.00,51320000
NVDA,2022-02-11,259.16,261.52,237.73,239.49,239.27,60547200
NVDA,2022-02-14,239.34,248.75,237.55,242.67,242.44,44042400
NVDA,2022-02-15,249.49,265.45,247.84,264.95,264.70,69986900
NVDA,2022-02-16,262.59,265.82,255.52,265.11,264.86,73267600
NVDA,2022-02-17,256.30,257.85,241.65,245.07,244.84,81059500
NVDA,2022-02-18,246.68,249.86,231.00,236.42,236.20,76125500
NVDA,2022-02-22,230.35,240.64,230.00,233.90,233.68,63342200
NVDA,2022-02-23,238.02,241.55,223.01,223.87,223.66,56651100
NVDA,2022-02-24,210.15,238.00,208.90,237.48,237.26,73580100
NVDA,2022-02-25,237.21,242.17,233.81,241.57,241.34,52886600
NVDA,2022-02-28,239.92,246.65,237.07,243.85,243.62,47731900
NVDA,2022-03-01,242.91,243.77,231.32,234.77,234.55,41205600
NVDA,2022-03-02,237.56,244.09,234.15,242.20,242.01,38964200
NVDA,2022-03-03,242.62,243.26,234.69,237.14,236.96,36509500
NVDA,2022-03-04,233.84,236.80,224.82,229.36,229.18,43141500
NVDA,2022-03-07,228.17,230.33,213.30,213.52,213.36,45082100
NVDA,2022-03-08,213.09,223.73,206.50,215.14,214.98,55746700
NVDA,2022-03-09,223.87,232.20,222.47,230.14,229.96,49274200
NVDA,2022-03-10,225.31,227.88,218.82,226.58,226.41,42806600
NVDA,2022-03-11,230.22,231.45,220.46,221.00,220.83,36720900
NVDA,2022-03-14,218.69,222.62,211.59,213.30,213.14,38535400
NVDA,2022-03-15,215.18,230.38,213.22,229.73,229.55,49199600
NVDA,2022-03-16,235.00,245.97,231.72,244.96,244.77,67142200
NVDA,2022-03-17,241.20,248.42,239.06,247.66,247.47,47194100
NVDA,2022-03-18,247.99,265.69,246.24,264.53,264.33,73071900
NVDA,2022-03-21,265.07,271.52,259.67,267.34,267.14,59172700
NVDA,2022-03-22,267.27,272.38,260.72,265.24,265.04,54700700
